parameters,aic
"(1, 1, 0, 0)",-16208.90165928255
"(2, 3, 0, 0)",-16208.502773973938
"(3, 0, 0, 0)",-16207.446709770978
"(0, 3, 0, 0)",-16206.843031160439
"(3, 3, 0, 0)",-16206.525806799951
"(4, 0, 0, 0)",-16205.472364327441
"(3, 1, 0, 0)",-16205.46923429615
"(2, 4, 0, 0)",-16205.064247597093
"(4, 3, 0, 0)",-16204.96932118154
"(1, 3, 0, 0)",-16204.969308380812
"(0, 4, 0, 0)",-16204.762143868658
"(1, 0, 0, 0)",-16204.738857098117
"(0, 1, 0, 0)",-16204.429560454086
"(2, 0, 0, 0)",-16204.131960870145
"(4, 4, 0, 0)",-16203.996749928629
"(0, 2, 0, 0)",-16203.562487708807
"(4, 1, 0, 0)",-16203.50239596246
"(1, 2, 0, 0)",-16203.477094507056
"(3, 4, 0, 0)",-16203.367068454125
"(1, 4, 0, 0)",-16203.122203086925
"(0, 0, 0, 0)",-16199.569906156925
